day,direction,entry_time,entry,stop,target,exit_time,exit,outcome,pnl
2026-01-30,long,2026-01-30 05:50:00-05:00,6943.25,6929.75,6970.25,2026-01-30 06:55:00-05:00,6970.25,target,27.0
2026-02-02,short,2026-02-02 15:35:00-05:00,7002.25,7002.25,7002.25,2026-02-02 15:35:00-05:00,7002.25,stop,0.0
2026-02-02,long,2026-02-02 22:40:00-05:00,7016.25,7016.25,7027.75,2026-02-02 22:50:00-05:00,7016.25,stop,0.0
2026-02-03,short,2026-02-03 03:50:00-05:00,7018.5,7027.25,7001.0,2026-02-03 09:35:00-05:00,7001.0,target,17.5
2026-02-03,short,2026-02-03 08:40:00-05:00,7016.0,7021.5,7005.0,2026-02-03 09:30:00-05:00,7005.0,target,11.0
2026-02-04,short,2026-02-04 07:25:00-05:00,6955.0,6961.0,6943.0,2026-02-04 09:00:00-05:00,6943.0,target,12.0
2026-02-05,short,2026-02-05 08:50:00-05:00,6860.5,6880.5,6820.5,2026-02-05 09:50:00-05:00,6880.5,stop,-20.0
2026-02-05,long,2026-02-05 11:50:00-05:00,6851.5,6851.5,6888.0,2026-02-05 11:55:00-05:00,6851.5,stop,0.0
2026-02-06,short,2026-02-06 07:35:00-05:00,6853.25,6861.25,6837.25,2026-02-06 08:20:00-05:00,6861.25,stop,-8.0
2026-02-08,short,2026-02-08 19:45:00-05:00,6969.5,6969.5,6949.0,2026-02-08 19:50:00-05:00,6969.5,stop,0.0
2026-02-08,short,2026-02-08 20:35:00-05:00,6964.25,6964.25,6964.25,2026-02-08 20:35:00-05:00,6964.25,stop,0.0
2026-02-09,long,2026-02-09 06:25:00-05:00,6938.25,6930.75,6953.25,2026-02-09 07:00:00-05:00,6930.75,stop,-7.5
2026-02-09,long,2026-02-09 13:40:00-05:00,6991.75,6991.75,7021.25,2026-02-09 13:45:00-05:00,6991.75,stop,0.0
2026-02-10,long,2026-02-10 08:45:00-05:00,6983.0,6972.5,7004.0,2026-02-10 10:05:00-05:00,7004.0,target,21.0
2026-02-11,short,2026-02-11 09:35:00-05:00,6998.75,7011.5,6973.25,2026-02-11 10:05:00-05:00,6973.25,target,25.5
2026-02-11,long,2026-02-11 19:35:00-05:00,6961.25,6961.25,6977.25,2026-02-11 19:40:00-05:00,6961.25,stop,0.0
2026-02-12,long,2026-02-12 02:20:00-05:00,6979.75,6975.5,6988.25,2026-02-12 03:30:00-05:00,6975.5,stop,-4.25
2026-02-12,short,2026-02-12 09:40:00-05:00,6979.5,6992.75,6953.0,2026-02-12 09:40:00-05:00,6992.75,stop,-13.25
